state_code,district,party,name,gender,ethnicity,religion,date_of_birth,entered_office
FL,10,democrat,Val Demings,female,african-american,unspecified,1957-03-12,2017-01-03
FL,11,republican,Daniel Webster,male,white-american,southern-baptist,1949-04-27,2011-01-05
FL,12,republican,Gus Bilirakis,male,white-american,eastern-orthodox,1963-02-08,2007-01-04
FL,13,democrat,Charlie Crist,male,white-american,united-methodist,1956-07-24,2017-01-03
FL,14,democrat,Kathy Castor,female,white-american,presbyterian,1966-08-20,2007-01-04
FL,15,republican,Ross Spano,male,white-american,baptist,1966-07-16,2019-01-03
FL,16,republican,Vern Buchanan,male,white-american,southern-baptist,1951-05-08,2007-01-04
FL,17,republican,Gregory Steube,male,white-american,unspecified,1978-05-19,2019-01-03
FL,18,republican,Brian Mast,male,white-american,christian,1980-07-10,2017-01-03
FL,19,republican,Francis Rooney,male,white-american,roman-catholic,1953-12-04,2017-01-03
FL,20,democrat,Alcee Hastings,male,african-american,african-methodist,1936-09-05,1993-01-05
FL,21,democrat,Lois Frankel,female,white-american,jewish,1948-05-16,2013-01-03
FL,22,democrat,Ted Deutch,male,white-american,jewish,1966-05-07,2010-04-15
FL,23,democrat,Debbie Wasserman Schultz,female,white-american,jewish,1966-09-27,2005-01-04
FL,24,democrat,Frederica Wilson,female,african-american,episcopalian,1942-11-05,2011-01-05
FL,25,republican,Mario Diaz-Balart,male,hispanic-american,roman-catholic,1961-09-25,2003-01-07
FL,26,democrat,Debbie Mucarsel-Powell,female,white-american,unspecified,1971-01-18,2019-01-03
FL,27,democrat,Donna Shalala,female,white-american,unspecified,1941-02-14,2019-01-03
GA,1,republican,Buddy Carter,male,white-american,methodist,1957-09-06,2015-01-06
GA,2,democrat,Sanford Bishop,male,african-american,baptist,1947-02-04,1993-01-05
GA,3,republican,Drew Ferguson,male,white-american,unspecified,1967-11-15,2017-01-03
GA,4,democrat,Henry Johnson,male,african-american,soka-gakkai-buddhist,1954-10-02,2007-01-04
GA,5,democrat,John Lewis,male,african-american,baptist,1940-02-21,1987-01-06
GA,6,democrat,Lucy McBath,female,white-american,unspecified,1960-06-01,2019-01-03
GA,7,republican,Robert Woodall,male,white-american,methodist,1970-02-11,2011-01-05
GA,8,republican,Austin Scott,male,white-american,southern-baptist,1969-12-10,2011-01-05
GA,9,republican,Doug Collins,male,white-american,southern-baptist,1966-08-16,2013-01-03
GA,10,republican,Jody Hice,male,white-american,southern-baptist,1960-04-22,2015-01-06
GA,11,republican,Barry Loudermilk,male,white-american,baptist,1963-12-22,2015-01-06
GA,12,republican,Rick Allen,male,white-american,methodist,1951-11-07,2015-01-06
GA,13,democrat,David Scott,male,african-american,baptist,1945-06-27,2003-01-07
GA,14,republican,Tom Graves,male,white-american,southern-baptist,1970-02-03,2010-06-08
HI,1,democrat,Ed Case,male,white-american,unspecified,1952-09-27,2019-01-03
HI,2,democrat,Tulsi Gabbard,female,pacific-islander,hindu,1981-04-12,2013-01-03
IA,2,democrat,David Loebsack,male,white-american,methodist,1952-12-23,2007-01-04
IA,4,republican,Steve King,male,white-american,roman-catholic,1949-05-28,2003-01-07
